作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	2	2	9	10
2	0	9	9	9	10
3	2	3	5	2	2
4	2	9	11	4	3
5	2	7	9	7	10
6	4	2	6	8	10
7	4	4	8	6	2
8	5	1	6	10	4
9	5	5	10	6	2
10	5	5	10	1	6
11	5	1	6	6	3
12	6	4	10	1	7
13	6	5	11	5	5
14	6	5	11	9	9
15	7	9	16	10	3
16	8	4	12	10	10
17	8	8	16	5	8
18	9	3	12	10	3
19	10	2	12	1	1
20	11	5	16	10	8
21	11	4	15	5	6
22	11	9	20	2	10
23	12	4	16	5	6
24	14	3	17	3	9
25	14	8	22	9	3
26	14	3	17	9	7
27	15	2	17	3	2
28	16	9	25	9	6
29	17	8	25	10	9
30	17	10	27	6	10
31	18	6	24	1	4
32	19	3	22	2	1
33	20	9	29	1	7
34	20	7	27	9	3
35	21	8	29	5	10
36	22	5	27	6	6
37	23	7	30	7	1
38	24	7	31	8	6
39	24	6	30	3	4
40	25	7	32	3	4
41	25	4	29	5	4
42	25	6	31	5	1
43	25	5	30	5	10
44	27	1	28	9	9
45	27	5	32	3	2
46	28	2	30	4	7
47	28	5	33	2	4
48	28	1	29	6	7
49	28	6	34	10	7
50	29	8	37	5	9
51	29	1	30	1	1
52	30	2	32	3	1
53	30	1	31	8	9
54	30	4	34	9	5
55	30	6	36	3	10
56	31	9	40	10	9
57	31	3	34	7	7
58	31	8	39	9	1
59	32	10	42	8	10
60	32	6	38	9	8
61	32	10	42	1	10
62	32	3	35	3	3
63	32	10	42	2	8
64	32	9	41	6	10
65	32	3	35	10	9
66	33	4	37	3	10
67	33	4	37	6	10
68	34	6	40	8	7
69	34	1	35	9	10
70	35	5	40	2	10
71	35	10	45	7	6
72	36	1	37	4	9
73	37	9	46	10	7
74	38	7	45	4	10
75	40	6	46	10	6
76	40	4	44	1	9
77	40	1	41	5	9
78	41	4	45	10	1
79	41	4	45	3	8
80	41	7	48	5	10
81	42	9	51	8	9
82	42	6	48	8	10
83	42	2	44	10	2
84	42	8	50	2	4
85	42	6	48	5	2
86	42	7	49	5	1
87	42	8	50	6	7
88	42	8	50	5	2
89	43	9	52	2	4
90	45	3	48	8	10
91	45	2	47	9	5
92	46	4	50	2	9
93	47	7	54	4	8
94	48	2	50	1	8
95	48	8	56	9	2
96	48	4	52	6	8
97	49	9	58	10	3
98	50	4	54	9	3
99	50	5	55	9	2
100	51	9	60	6	2
101	52	3	55	7	5
102	53	2	55	3	7
103	56	9	65	10	1
104	57	6	63	6	9
105	57	1	58	1	5
106	57	3	60	3	5
107	57	4	61	5	3
108	57	5	62	10	6
109	58	4	62	6	6
110	58	7	65	9	4
111	59	4	63	6	4
112	59	2	61	2	10
113	59	4	63	4	6
114	60	7	67	5	9
115	60	1	61	9	5
116	61	2	63	3	3
117	61	5	66	5	6
118	61	10	71	9	10
119	61	7	68	2	4
120	62	9	71	5	5
121	64	3	67	6	4
122	65	1	66	3	5
123	65	5	70	10	8
124	66	7	73	3	8
125	66	1	67	1	3
126	67	6	73	7	3
127	67	4	71	10	1
128	67	7	74	9	10
129	68	5	73	4	8
130	69	10	79	8	6
131	69	5	74	1	2
132	69	1	70	9	4
133	69	2	71	4	2
134	70	10	80	9	8
135	70	6	76	9	2
136	70	10	80	10	2
137	71	7	78	1	2
138	71	5	76	6	5
139	72	4	76	5	8
