作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	3	8
2	0	10	10	2	10
3	0	4	4	3	1
4	0	8	8	1	5
5	0	10	10	4	4
6	1	4	5	3	10
7	1	5	6	4	7
8	3	5	8	2	4
9	3	9	12	5	5
10	3	4	7	5	4
11	4	4	8	1	4
12	4	10	14	3	9
13	5	10	15	4	1
14	5	7	12	2	4
15	7	2	9	3	5
16	7	5	12	4	4
17	7	3	10	3	8
18	7	7	14	3	7
19	7	4	11	4	1
20	9	7	16	5	1
21	9	6	15	1	5
22	10	2	12	5	5
23	10	2	12	3	10
24	10	8	18	1	1
25	10	2	12	3	7
26	10	1	11	1	3
27	11	5	16	2	9
28	11	1	12	5	10
29	12	4	16	3	9
30	13	2	15	1	6
31	13	8	21	3	3
32	13	6	19	4	10
33	14	6	20	3	10
34	14	7	21	1	1
35	14	6	20	5	10
36	14	9	23	2	5
37	15	5	20	2	2
38	16	7	23	1	10
39	17	2	19	5	3
40	17	2	19	4	6
41	17	1	18	5	5
42	18	6	24	5	6
43	18	7	25	5	9
44	18	4	22	1	2
45	19	5	24	1	5
46	19	3	22	1	1
47	20	3	23	1	1
48	20	6	26	2	3
49	21	6	27	2	8
50	21	3	24	1	1
51	22	2	24	2	9
52	24	6	30	2	2
53	25	8	33	5	6
54	25	5	30	2	3
55	25	1	26	3	3
56	28	10	38	5	8
57	28	8	36	2	6
58	29	6	35	2	1
59	30	8	38	3	8
60	30	6	36	1	9
61	30	2	32	2	6
62	30	7	37	4	2
63	31	10	41	5	2
64	31	2	33	4	6
65	32	4	36	1	5
66	32	9	41	5	2
67	32	5	37	1	2
68	32	3	35	5	5
69	33	5	38	2	10
70	34	8	42	4	1
71	34	3	37	3	8
72	35	2	37	4	10
73	37	9	46	3	6
74	37	2	39	5	9
75	39	9	48	3	8
76	39	9	48	2	7
77	39	7	46	2	1
78	40	3	43	1	1
79	40	9	49	4	5
80	40	1	41	4	3
81	40	1	41	3	9
82	41	7	48	2	10
83	42	2	44	5	2
84	42	4	46	5	9
85	44	8	52	4	2
86	44	9	53	1	8
87	46	8	54	5	8
88	46	4	50	4	3
89	46	5	51	3	6
90	47	1	48	1	3
91	47	5	52	2	2
92	47	7	54	5	10
93	47	6	53	5	10
94	47	6	53	5	2
95	48	6	54	5	8
96	48	10	58	1	2
97	49	9	58	4	8
98	52	2	54	3	2
99	52	4	56	2	1
100	53	7	60	5	1
101	53	4	57	3	2
102	53	10	63	3	8
103	54	10	64	2	3
104	54	9	63	2	4
105	55	4	59	3	3
106	55	4	59	4	3
107	55	1	56	2	7
108	55	10	65	4	10
109	55	4	59	4	8
110	56	5	61	1	10
111	56	5	61	5	7
112	56	8	64	4	8
113	57	5	62	2	5
114	57	5	62	5	5
115	58	1	59	4	8
116	60	2	62	5	8
117	60	8	68	3	8
118	60	10	70	2	5
119	61	4	65	2	1
120	61	1	62	2	1
121	62	9	71	1	4
122	63	9	72	2	7
123	63	10	73	2	9
124	63	5	68	5	2
125	63	7	70	1	2
126	63	3	66	3	1
127	64	5	69	5	4
128	64	3	67	4	6
129	65	8	73	2	9
130	65	3	68	5	6
131	66	2	68	1	10
132	67	1	68	4	7
133	67	9	76	3	9
134	67	10	77	1	2
135	68	1	69	4	9
136	69	8	77	5	9
137	70	3	73	2	5
138	70	1	71	3	2
139	70	9	79	4	7
140	70	10	80	4	10
141	71	8	79	1	8
142	71	3	74	1	7
143	71	6	77	2	3
144	72	10	82	2	1
145	73	6	79	5	10
