作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	14	9
2	0	1	1	6	4
3	1	10	11	1	7
4	1	3	4	5	10
5	1	4	5	2	1
6	3	2	5	4	9
7	3	6	9	10	10
8	4	5	9	1	5
9	4	2	6	12	7
10	4	9	13	10	10
11	5	9	14	1	1
12	5	10	15	8	6
13	6	2	8	12	3
14	6	9	15	14	9
15	6	8	14	8	4
16	7	10	17	10	2
17	7	1	8	1	9
18	7	7	14	8	8
19	8	3	11	8	5
20	9	7	16	13	4
21	9	1	10	2	7
22	9	5	14	15	7
23	10	4	14	8	3
24	10	2	12	11	7
25	11	3	14	2	3
26	11	4	15	13	2
27	12	8	20	14	4
28	12	2	14	4	6
29	12	9	21	6	10
30	13	5	18	2	3
31	13	9	22	7	6
32	13	6	19	15	2
33	13	6	19	14	7
34	14	5	19	12	3
35	15	4	19	2	8
36	15	1	16	7	6
37	15	9	24	5	5
38	15	6	21	5	2
39	16	5	21	15	2
40	17	5	22	15	8
41	18	10	28	9	10
42	18	3	21	7	4
43	18	2	20	2	7
44	19	5	24	6	2
45	19	8	27	6	4
46	20	2	22	12	10
47	20	6	26	1	7
48	21	3	24	14	3
49	21	9	30	8	2
50	22	4	26	1	5
51	23	5	28	7	1
52	23	6	29	8	7
53	23	8	31	7	2
54	26	6	32	11	3
55	27	2	29	15	9
56	28	10	38	11	3
57	28	7	35	15	4
58	29	3	32	1	3
59	30	5	35	12	8
60	30	2	32	5	3
61	30	8	38	3	7
62	31	3	34	7	1
63	31	1	32	13	5
64	31	1	32	9	9
65	32	4	36	15	6
66	33	2	35	9	2
67	33	1	34	14	1
68	33	7	40	1	7
69	34	2	36	14	3
70	36	4	40	14	4
71	37	2	39	9	1
72	37	3	40	1	10
73	37	9	46	9	7
74	37	1	38	5	1
75	37	7	44	6	2
76	38	3	41	8	1
77	39	9	48	15	4
78	40	10	50	3	9
79	40	9	49	6	1
80	40	4	44	4	8
81	40	9	49	4	8
82	40	7	47	12	10
83	41	9	50	13	1
84	41	8	49	5	8
85	41	10	51	13	6
86	42	7	49	6	10
87	42	5	47	10	5
88	43	5	48	2	4
89	43	6	49	6	8
90	43	9	52	8	6
91	43	3	46	2	1
92	44	6	50	10	3
93	45	4	49	3	10
94	45	4	49	2	6
95	46	7	53	5	9
96	48	4	52	6	3
97	49	10	59	5	3
98	49	7	56	6	6
99	50	4	54	3	8
100	50	6	56	8	8
101	50	5	55	10	1
102	51	4	55	10	1
103	52	2	54	12	1
104	53	4	57	12	4
105	53	3	56	6	10
106	54	10	64	2	7
107	57	3	60	13	2
108	59	10	69	1	3
109	59	3	62	4	6
110	59	1	60	5	4
111	60	9	69	2	6
112	60	9	69	1	5
113	60	2	62	4	6
114	60	6	66	14	5
115	61	6	67	3	4
116	61	3	64	8	5
117	61	6	67	5	10
118	62	6	68	6	6
119	62	5	67	4	6
120	63	8	71	12	4
121	63	5	68	4	9
122	64	4	68	6	9
123	64	7	71	9	2
124	64	7	71	14	7
125	64	7	71	2	8
126	64	1	65	7	3
127	66	6	72	7	10
128	66	3	69	5	8
129	67	4	71	5	2
130	67	9	76	5	5
131	67	8	75	1	4
132	71	8	79	3	5
133	73	2	75	1	1
134	73	7	80	14	9
135	73	2	75	5	4
136	73	2	75	4	5
137	73	9	82	7	6
138	74	6	80	12	4
139	74	8	82	10	6
140	75	7	82	3	10
141	76	8	84	2	7
142	77	5	82	2	9
143	77	6	83	2	8
144	78	1	79	1	3
145	78	7	85	14	9
146	78	7	85	13	1
147	79	3	82	7	1
148	79	6	85	8	6
149	81	8	89	15	1
150	81	1	82	4	10
151	81	10	91	9	5
152	82	9	91	14	7
153	82	7	89	1	4
154	82	5	87	10	10
155	83	7	90	12	9
156	83	9	92	2	6
157	83	6	89	10	7
158	83	4	87	13	2
159	84	2	86	5	9
160	84	1	85	10	6
161	85	2	87	2	10
162	85	5	90	11	1
163	86	9	95	3	5
164	86	1	87	9	10
165	87	10	97	11	10
166	87	3	90	13	6
167	89	9	98	2	7
168	89	6	95	13	5
169	89	7	96	10	1
170	90	6	96	13	4
171	91	3	94	5	5
172	91	4	95	3	5
173	92	5	97	1	5
174	92	7	99	12	5
175	93	10	103	5	4
176	93	4	97	2	5
177	93	4	97	1	7
178	93	7	100	15	1
179	93	10	103	1	8
180	93	1	94	8	9
181	93	6	99	15	7
182	95	2	97	7	5
183	95	6	101	10	7
184	95	2	97	4	5
185	96	2	98	15	6
186	96	3	99	10	2
187	97	1	98	1	8
188	97	2	99	15	10
189	97	3	100	6	3
190	98	5	103	8	2
191	98	8	106	3	7
192	99	10	109	13	5
193	100	10	110	7	6
194	101	4	105	9	2
195	101	1	102	6	3
196	103	10	113	15	5
197	103	3	106	11	10
198	104	6	110	5	5
199	106	1	107	13	5
200	106	6	112	11	7
201	107	4	111	13	2
202	107	9	116	8	3
203	107	1	108	4	2
204	108	3	111	11	2
205	108	8	116	7	2
206	109	10	119	13	7
207	109	9	118	11	3
208	111	5	116	4	1
209	111	4	115	11	2
210	112	4	116	7	9
211	112	9	121	4	7
212	114	2	116	2	6
213	114	8	122	4	7
214	114	6	120	4	1
215	115	2	117	3	8
216	116	8	124	12	6
217	117	2	119	10	4
218	117	8	125	12	2
219	119	8	127	9	7
220	119	7	126	5	5
221	120	2	122	3	3
222	121	5	126	11	9
223	121	1	122	11	1
224	121	7	128	3	8
225	121	4	125	1	1
226	121	6	127	7	6
227	122	7	129	2	2
228	122	10	132	3	8
229	123	4	127	14	1
230	125	4	129	9	6
231	125	6	131	15	2
232	126	3	129	12	6
233	126	9	135	6	2
234	127	4	131	7	2
235	128	8	136	6	10
236	128	5	133	3	4
237	129	7	136	4	8
238	129	1	130	12	10
239	130	6	136	3	3
240	131	2	133	6	8
241	131	9	140	11	2
242	132	5	137	13	6
243	132	9	141	13	9
244	132	5	137	9	2
245	133	8	141	15	10
246	133	9	142	6	3
247	133	4	137	6	7
248	134	4	138	7	6
249	134	7	141	1	4
250	135	4	139	13	5
251	135	9	144	2	4
252	135	5	140	2	4
253	136	8	144	5	5
254	136	3	139	11	1
255	137	2	139	13	7
256	137	2	139	12	7
257	138	4	142	8	8
258	138	10	148	8	4
259	139	1	140	1	8
260	139	1	140	15	1
261	139	8	147	9	6
262	140	7	147	12	7
263	141	2	143	9	8
264	141	7	148	13	10
265	141	9	150	10	1
266	141	4	145	4	4
267	141	4	145	7	3
268	142	6	148	11	9
269	142	2	144	6	7
270	142	6	148	8	5
