作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	4	3
2	1	9	10	5	3
3	2	5	7	10	8
4	3	7	10	4	4
5	5	2	7	1	7
6	5	5	10	10	2
7	6	6	12	3	1
8	7	9	16	1	5
9	7	4	11	6	6
10	7	4	11	2	3
11	8	10	18	7	4
12	9	2	11	6	3
13	10	7	17	1	8
14	11	3	14	2	6
15	12	9	21	10	7
16	12	5	17	9	9
17	12	9	21	6	4
18	13	6	19	4	5
19	13	10	23	1	1
20	14	1	15	3	7
21	15	9	24	6	8
22	16	1	17	2	6
23	16	10	26	4	6
24	17	10	27	6	4
25	18	6	24	6	7
26	19	7	26	4	8
27	19	9	28	1	2
28	19	2	21	4	5
29	20	10	30	8	1
30	20	8	28	9	7
31	20	4	24	6	10
32	21	9	30	5	2
33	21	2	23	10	3
34	21	5	26	10	5
35	21	8	29	7	5
36	21	8	29	10	4
37	21	1	22	4	3
38	21	3	24	5	9
39	22	9	31	8	3
40	22	8	30	8	3
41	23	5	28	3	9
42	23	6	29	10	2
43	24	2	26	8	2
44	24	3	27	8	1
45	24	6	30	7	3
46	24	1	25	8	9
47	24	8	32	10	10
48	24	4	28	8	6
49	25	10	35	8	9
50	25	2	27	7	2
51	25	2	27	7	2
52	25	3	28	6	8
53	26	7	33	7	4
54	27	5	32	6	3
55	27	4	31	4	10
56	28	8	36	2	3
57	28	3	31	1	3
58	29	8	37	4	2
59	30	6	36	1	5
60	30	9	39	2	4
61	30	3	33	2	1
62	31	4	35	7	5
63	31	2	33	7	5
64	32	2	34	8	8
65	33	8	41	3	9
66	33	10	43	2	2
67	33	6	39	4	3
68	33	4	37	6	7
69	33	6	39	10	5
70	34	2	36	3	3
71	34	3	37	10	3
72	35	6	41	8	10
73	36	6	42	1	1
74	37	9	46	6	5
75	37	1	38	1	8
76	38	10	48	5	10
77	41	4	45	2	1
78	41	2	43	1	9
79	41	3	44	7	5
80	41	8	49	2	8
81	42	4	46	5	4
82	43	3	46	3	9
83	43	2	45	10	8
84	44	1	45	8	6
85	44	8	52	1	5
86	45	3	48	9	6
87	45	2	47	1	2
88	46	8	54	10	4
89	47	3	50	7	2
90	47	10	57	10	7
91	48	1	49	5	5
92	48	3	51	2	1
93	48	10	58	7	5
94	50	7	57	9	7
95	51	3	54	3	1
96	51	2	53	4	10
97	52	10	62	3	5
98	53	3	56	5	2
99	53	5	58	5	4
100	53	3	56	2	2
101	53	2	55	8	1
102	54	7	61	3	6
103	54	8	62	10	2
104	54	4	58	8	9
105	54	7	61	2	2
106	54	6	60	6	3
107	54	9	63	1	7
108	55	9	64	4	8
109	55	6	61	7	2
110	55	7	62	3	10
111	56	8	64	4	7
112	56	4	60	5	6
113	57	5	62	6	6
114	57	3	60	3	9
115	57	3	60	5	3
116	57	9	66	6	9
117	57	10	67	8	2
118	58	2	60	1	9
119	59	3	62	6	5
120	59	3	62	9	7
121	61	9	70	6	2
122	62	6	68	1	5
123	62	6	68	5	6
124	62	3	65	5	7
125	62	10	72	9	5
126	62	3	65	8	1
127	62	8	70	8	8
128	62	1	63	4	5
129	63	8	71	8	9
130	64	8	72	7	6
131	64	9	73	1	3
132	65	3	68	8	1
133	65	1	66	3	10
134	65	8	73	5	6
135	65	3	68	8	10
136	65	10	75	1	3
137	68	9	77	9	2
138	69	4	73	5	6
139	69	2	71	5	2
140	69	6	75	1	3
141	69	10	79	6	5
142	70	3	73	2	8
143	70	4	74	10	7
144	70	3	73	7	5
145	71	4	75	2	1
146	72	7	79	4	6
147	73	6	79	7	8
148	73	5	78	9	7
149	74	7	81	6	1
150	75	1	76	7	6
151	75	2	77	6	2
152	75	6	81	3	1
153	76	10	86	5	4
154	76	1	77	5	5
155	76	2	78	2	2
156	76	9	85	8	1
157	77	5	82	6	8
158	78	10	88	9	9
159	79	6	85	7	6
160	79	6	85	10	1
161	79	5	84	2	3
162	79	1	80	4	3
163	80	6	86	9	1
164	80	1	81	4	10
165	82	7	89	9	2
166	82	6	88	9	2
167	83	5	88	8	2
168	84	3	87	2	3
169	85	9	94	5	7
170	86	2	88	3	10
171	86	5	91	9	3
172	86	1	87	2	5
173	86	2	88	4	5
174	87	7	94	3	10
175	87	4	91	3	1
176	87	9	96	8	5
177	89	6	95	6	3
178	89	5	94	8	9
179	89	8	97	8	4
180	90	9	99	8	5
181	90	10	100	1	3
182	90	3	93	9	4
183	90	8	98	3	1
184	90	6	96	4	4
185	91	3	94	8	6
186	92	4	96	8	10
187	93	3	96	9	9
188	93	1	94	6	8
189	93	8	101	6	4
190	93	8	101	1	10
191	94	2	96	8	8
192	94	3	97	6	9
193	95	3	98	4	5
194	95	9	104	10	10
195	96	2	98	10	7
196	96	3	99	4	5
197	96	8	104	2	9
198	96	9	105	2	7
199	98	2	100	10	2
200	99	4	103	8	7
201	99	9	108	10	6
202	99	4	103	6	8
203	99	3	102	8	5
204	101	9	110	8	2
205	102	7	109	10	1
206	102	9	111	9	4
207	103	10	113	7	7
208	104	6	110	7	2
209	105	9	114	3	3
210	105	4	109	8	9
