作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	1	1	2	5	3
2	1	3	4	1	5
3	1	2	3	2	7
4	1	6	7	1	3
5	2	7	9	5	10
6	2	1	3	1	8
7	3	7	10	5	6
8	3	3	6	2	6
9	4	7	11	1	8
10	4	8	12	2	6
11	4	2	6	4	4
12	4	1	5	1	4
13	4	3	7	4	7
14	4	2	6	4	2
15	5	10	15	3	2
16	5	4	9	3	1
17	5	3	8	3	4
18	5	9	14	2	10
19	6	2	8	3	10
20	6	6	12	1	1
21	6	3	9	2	9
22	6	8	14	3	5
23	6	7	13	3	4
24	6	2	8	1	7
25	6	2	8	2	8
26	8	6	14	4	2
27	9	10	19	5	8
28	9	8	17	4	3
29	10	7	17	1	5
30	11	10	21	2	9
31	11	9	20	3	1
32	11	8	19	1	10
33	12	9	21	4	8
34	12	9	21	3	10
35	12	7	19	4	2
36	13	8	21	4	8
37	13	2	15	5	2
38	15	8	23	1	5
39	16	4	20	2	1
40	16	4	20	5	4
41	16	4	20	3	8
42	17	9	26	2	4
43	17	8	25	4	6
44	17	5	22	4	1
45	18	6	24	5	8
46	18	2	20	4	6
47	18	6	24	5	9
48	18	2	20	1	6
49	18	2	20	1	6
50	19	1	20	1	6
51	19	7	26	4	5
52	19	7	26	1	4
53	19	6	25	1	6
54	20	1	21	4	10
55	20	2	22	3	6
56	20	4	24	4	2
57	21	4	25	1	3
58	21	8	29	5	5
59	21	4	25	3	7
60	22	2	24	5	1
61	23	10	33	1	6
62	24	7	31	1	3
63	24	8	32	5	7
64	26	7	33	1	9
65	26	9	35	3	4
66	26	4	30	5	4
67	26	1	27	2	6
68	27	9	36	4	5
69	27	9	36	5	9
70	27	1	28	3	8
71	28	10	38	4	8
72	28	3	31	1	4
73	28	4	32	2	8
74	28	1	29	3	4
75	29	2	31	3	2
76	29	9	38	1	4
77	29	3	32	5	5
78	29	2	31	1	2
79	30	8	38	4	7
80	31	2	33	1	2
81	31	7	38	1	8
82	32	6	38	5	7
83	32	10	42	4	4
84	33	7	40	3	10
85	33	6	39	4	5
86	33	7	40	2	2
87	33	4	37	2	1
88	34	8	42	5	9
89	34	9	43	5	5
90	35	10	45	1	1
91	35	2	37	5	6
92	36	10	46	1	5
93	36	10	46	4	5
94	36	8	44	1	5
95	36	5	41	4	7
96	36	6	42	4	5
97	37	6	43	2	6
98	38	10	48	2	4
99	38	5	43	4	3
100	38	3	41	5	4
101	38	1	39	2	4
102	38	10	48	2	2
103	39	3	42	3	8
104	39	5	44	3	3
105	39	10	49	5	8
106	39	4	43	5	5
107	40	5	45	1	1
108	41	8	49	2	1
109	41	10	51	5	4
110	41	1	42	3	6
111	42	7	49	1	5
112	43	8	51	2	4
113	43	1	44	4	2
114	45	2	47	5	3
115	45	5	50	1	3
116	46	3	49	2	3
117	46	1	47	5	4
118	46	8	54	1	3
119	46	1	47	5	7
120	48	4	52	2	4
121	48	8	56	3	4
122	48	8	56	4	10
123	48	4	52	3	6
124	49	4	53	2	9
125	49	5	54	2	3
126	50	3	53	3	8
127	51	6	57	5	2
128	51	4	55	5	3
129	53	9	62	2	3
130	53	9	62	1	3
131	54	10	64	4	8
132	54	1	55	3	1
133	55	1	56	2	2
134	55	9	64	5	4
135	56	2	58	1	1
136	56	5	61	4	7
137	56	7	63	1	5
138	57	3	60	1	8
139	57	4	61	3	4
140	57	5	62	4	9
141	57	7	64	5	7
142	57	6	63	1	3
143	57	4	61	3	8
144	57	9	66	2	1
145	59	8	67	4	8
146	59	10	69	2	3
147	59	6	65	5	8
148	60	9	69	4	7
149	61	4	65	3	9
150	61	6	67	1	4
151	61	4	65	4	2
152	62	10	72	5	2
153	63	8	71	1	10
154	63	2	65	2	8
155	63	2	65	3	5
156	63	10	73	1	1
157	65	8	73	4	1
158	65	8	73	1	5
159	66	4	70	5	7
160	66	8	74	4	5
161	66	5	71	3	4
162	67	9	76	2	6
163	68	8	76	4	7
164	68	9	77	1	7
165	68	4	72	3	6
166	69	5	74	5	5
167	70	4	74	2	1
168	70	5	75	1	3
169	71	5	76	5	7
170	72	9	81	3	4
171	73	6	79	5	4
172	73	3	76	4	7
173	74	6	80	5	8
174	74	9	83	4	2
175	74	2	76	2	3
176	75	9	84	5	9
177	75	1	76	4	2
178	75	1	76	4	10
179	75	10	85	1	6
180	76	10	86	5	2
181	76	4	80	2	5
182	76	4	80	5	2
183	77	7	84	3	2
184	78	1	79	4	5
185	78	1	79	1	7
186	78	2	80	3	3
187	78	2	80	3	10
188	79	3	82	3	5
189	80	2	82	1	8
190	81	6	87	3	4
191	81	10	91	2	4
192	81	6	87	3	8
193	81	2	83	1	9
194	82	5	87	3	10
195	82	5	87	1	9
196	83	5	88	4	6
197	83	1	84	3	7
198	83	3	86	1	2
199	83	3	86	3	9
200	85	3	88	4	4
201	85	6	91	4	6
202	87	9	96	5	1
203	87	5	92	1	7
204	88	10	98	3	6
205	88	7	95	2	6
206	88	4	92	1	7
207	88	2	90	5	7
208	89	1	90	3	7
209	91	5	96	2	7
210	92	5	97	3	5
