作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	10	8
2	0	2	2	5	3
3	0	10	10	10	2
4	0	0	0	8	3
5	0	0	0	9	8
6	2	3	5	5	5
7	2	6	8	9	6
8	5	5	10	5	6
9	5	10	15	9	8
10	5	5	10	5	7
11	10	5	15	6	2
12	10	6	16	6	6
13	10	3	13	6	4
14	13	7	20	5	7
15	15	1	16	8	5
16	15	10	25	7	6
17	16	5	21	10	3
18	16	10	26	10	6
19	16	1	17	6	4
20	17	4	21	9	5
21	17	2	19	7	7
22	20	1	21	5	5
23	20	5	25	5	8
24	21	2	23	9	2
25	21	6	27	8	1
26	23	9	32	6	2
27	25	10	35	7	6
28	26	8	34	9	1
29	27	3	30	5	2
30	27	5	32	5	6
31	30	6	36	6	1
32	32	7	39	7	8
33	32	7	39	6	1
34	32	2	34	9	7
35	34	10	44	9	1
36	35	7	42	8	5
37	35	1	36	5	1
38	36	7	43	9	3
39	36	4	40	8	6
40	39	1	40	7	3
41	39	2	41	10	8
42	40	7	47	5	2
43	41	9	50	7	3
44	42	10	52	10	6
45	43	7	50	10	6
46	44	4	48	7	6
47	47	8	55	8	5
48	48	6	54	8	6
49	50	5	55	5	4
50	50	9	59	9	1
51	52	1	53	7	3
52	52	2	54	6	7
53	53	6	59	8	8
54	54	9	63	8	2
55	54	1	55	7	2
56	55	1	56	8	1
57	55	8	63	6	7
58	56	7	63	5	1
59	56	4	60	10	1
60	59	1	60	9	1
61	60	5	65	9	5
62	60	5	65	5	1
63	63	6	69	6	2
64	63	6	69	8	1
65	63	2	65	8	4
66	65	9	74	8	2
67	65	7	72	8	4
68	65	7	72	8	1
69	65	2	67	10	2
70	67	2	69	10	2
71	69	1	70	5	2
72	69	5	74	6	7
73	69	6	75	5	8
74	70	4	74	6	5
75	72	2	74	8	4
76	74	10	84	8	5
77	74	1	75	7	8
78	74	7	81	7	2
79	74	2	76	9	3
80	75	7	82	9	1
81	75	8	83	8	4
82	81	7	88	8	2
83	81	1	82	7	2
84	82	6	88	6	1
85	82	6	88	8	3
86	83	1	84	5	8
87	84	8	92	6	6
88	84	3	87	7	5
89	88	5	93	9	1
90	88	3	91	5	2
