作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	1	1	6	6
2	0	10	10	6	1
3	0	8	8	8	5
4	0	0	0	8	4
5	0	0	0	10	5
6	1	4	5	7	2
7	1	3	4	5	4
8	1	1	2	9	3
9	2	3	5	5	3
10	2	7	9	10	2
11	8	4	12	10	4
12	8	8	16	8	6
13	8	8	16	6	1
14	9	1	10	6	7
15	9	2	11	5	5
16	9	2	11	5	5
17	10	1	11	8	3
18	10	9	19	10	6
19	11	8	19	8	6
20	11	2	13	9	8
21	11	8	19	8	1
22	11	6	17	9	1
23	12	7	19	7	7
24	16	3	19	7	4
25	16	7	23	9	3
26	16	1	17	6	8
27	17	2	19	7	4
28	17	5	22	9	2
29	17	8	25	8	5
30	17	9	26	6	2
31	17	8	25	6	7
32	19	10	29	7	2
33	19	2	21	5	3
34	19	5	24	10	1
35	19	7	26	7	3
36	21	3	24	9	8
37	21	2	23	7	2
38	21	3	24	10	7
39	23	3	26	10	7
40	23	4	27	8	6
41	25	9	34	7	7
42	25	1	26	9	8
43	26	8	34	6	2
44	26	1	27	10	6
45	26	10	36	10	4
46	26	4	30	6	3
47	27	4	31	8	4
48	27	5	32	10	8
49	29	6	35	8	3
50	29	10	39	9	3
51	31	10	41	8	4
52	32	1	33	10	1
53	33	8	41	6	6
54	34	5	39	5	2
55	34	8	42	6	5
56	34	9	43	8	8
57	34	2	36	8	7
58	36	6	42	7	5
59	36	4	40	6	3
60	40	8	48	5	3
61	41	1	42	5	4
62	42	8	50	7	5
63	42	4	46	9	8
64	42	1	43	7	3
65	43	6	49	10	5
66	43	6	49	6	5
67	43	3	46	10	6
68	46	8	54	6	2
69	46	8	54	10	4
70	49	1	50	10	1
71	49	5	54	8	1
72	50	3	53	5	3
73	50	3	53	9	8
74	53	8	61	9	4
75	53	4	57	8	1
76	53	8	61	5	5
77	54	3	57	6	4
78	54	9	63	6	3
79	54	9	63	8	1
80	57	3	60	10	8
81	57	10	67	9	8
82	61	3	64	8	4
83	61	1	62	9	6
84	62	7	69	10	1
85	62	6	68	6	4
86	63	10	73	7	8
87	64	10	74	7	2
88	67	5	72	10	1
89	69	2	71	7	7
90	72	1	73	6	4
