作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	9	8
2	0	9	9	7	3
3	0	3	3	8	5
4	0	0	0	8	6
5	0	0	0	6	8
6	3	4	7	6	6
7	3	1	4	8	5
8	3	2	5	5	3
9	4	9	13	8	4
10	5	4	9	10	7
11	7	4	11	5	1
12	7	9	16	10	4
13	9	7	16	5	5
14	9	1	10	6	6
15	9	5	14	9	3
16	9	10	19	10	3
17	9	3	12	5	1
18	9	6	15	8	2
19	9	1	10	5	1
20	10	4	14	7	3
21	10	9	19	7	3
22	13	6	19	5	3
23	14	4	18	6	1
24	15	8	23	10	2
25	15	6	21	9	7
26	19	8	27	8	6
27	19	3	22	10	2
28	19	5	24	9	1
29	19	2	21	7	3
30	21	5	26	8	8
31	21	8	29	7	8
32	21	10	31	6	3
33	21	7	28	10	1
34	23	6	29	8	2
35	24	8	32	9	3
36	24	4	28	7	8
37	26	2	28	7	2
38	28	1	29	9	5
39	28	2	30	6	7
40	28	7	35	6	8
41	29	3	32	10	7
42	29	7	36	7	4
43	29	8	37	9	8
44	30	9	39	6	6
45	30	5	35	7	8
46	32	3	35	8	3
47	35	1	36	9	2
48	36	2	38	9	4
49	36	4	40	5	1
50	36	4	40	6	1
51	37	6	43	9	1
52	37	7	44	5	5
53	38	9	47	6	7
54	39	2	41	9	3
55	40	6	46	7	3
56	40	5	45	5	8
57	40	2	42	8	5
58	43	4	47	5	7
59	44	4	48	10	1
60	44	3	47	6	2
61	44	5	49	10	2
62	46	7	53	5	5
63	47	9	56	7	4
64	49	7	56	8	3
65	49	2	51	9	8
66	49	7	56	9	5
67	51	3	54	9	2
68	56	3	59	5	3
69	56	7	63	6	3
70	56	5	61	9	6
71	56	9	65	10	4
72	56	1	57	8	8
73	56	7	63	6	3
74	56	4	60	8	1
75	56	2	58	7	8
76	60	6	66	6	6
77	61	9	70	10	7
78	63	5	68	5	1
79	63	8	71	8	2
80	65	3	68	7	6
81	66	2	68	9	8
82	68	5	73	7	7
83	68	4	72	6	6
84	68	6	74	9	8
85	68	8	76	9	3
86	70	4	74	9	7
87	74	3	77	8	2
88	74	3	77	6	7
89	76	10	86	10	8
90	77	6	83	6	6
