作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	2	2	8	4
2	0	10	10	8	4
3	0	4	4	10	4
4	0	0	0	7	1
5	0	0	0	6	1
6	4	1	5	10	7
7	4	5	9	7	6
8	4	5	9	6	2
9	5	6	11	5	6
10	9	1	10	6	5
11	9	10	19	6	5
12	9	6	15	8	8
13	10	6	16	10	1
14	10	8	18	8	7
15	11	3	14	10	1
16	15	1	16	9	3
17	15	8	23	10	6
18	16	4	20	7	4
19	16	6	22	8	7
20	18	9	27	5	5
21	19	1	20	7	8
22	19	5	24	7	5
23	20	1	21	10	7
24	22	10	32	10	2
25	22	10	32	8	5
26	24	1	25	5	5
27	25	2	27	9	8
28	27	2	29	6	4
29	27	10	37	9	5
30	27	5	32	8	5
31	29	9	38	8	2
32	32	4	36	6	3
33	32	7	39	5	8
34	32	5	37	10	2
35	32	10	42	9	8
36	36	6	42	6	5
37	37	6	43	8	4
38	38	9	47	6	4
39	39	9	48	8	5
40	42	6	48	5	8
41	42	3	45	10	6
42	43	6	49	7	8
43	43	2	45	6	3
44	45	9	54	10	7
45	45	10	55	6	4
46	47	1	48	5	7
47	48	3	51	5	1
48	48	4	52	7	8
49	49	10	59	7	1
50	51	2	53	8	4
51	52	9	61	7	6
52	52	1	53	10	8
53	52	9	61	7	1
54	53	8	61	7	6
55	54	9	63	6	3
56	55	9	64	10	5
57	59	2	61	7	7
58	61	2	63	6	7
59	61	5	66	9	5
60	61	3	64	9	7
61	61	7	68	6	3
62	63	4	67	9	4
63	63	10	73	7	7
64	64	5	69	6	2
65	64	1	65	5	5
66	64	4	68	6	1
67	65	7	72	6	2
68	67	8	75	7	4
69	68	3	71	5	7
70	68	8	76	10	4
71	69	5	74	7	5
72	71	7	78	5	5
73	73	9	82	10	5
74	73	3	76	8	2
75	74	2	76	9	3
76	75	8	83	6	7
77	75	2	77	9	5
78	76	3	79	7	3
79	77	7	84	6	8
80	78	3	81	8	1
81	79	2	81	7	2
82	81	6	87	6	7
83	81	10	91	7	2
84	82	7	89	8	7
85	84	8	92	7	8
86	84	4	88	7	4
87	88	2	90	10	4
88	89	6	95	10	2
89	90	2	92	6	6
90	91	4	95	10	2
