作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	3	3	6	8
2	0	8	8	5	2
3	0	4	4	9	7
4	0	0	0	6	2
5	0	0	0	6	4
6	3	10	13	9	7
7	4	7	11	7	6
8	4	4	8	6	3
9	4	2	6	6	2
10	6	9	15	8	1
11	8	6	14	10	8
12	8	5	13	6	4
13	8	4	12	6	8
14	11	2	13	6	5
15	11	6	17	5	6
16	11	2	13	5	5
17	13	6	19	5	1
18	13	2	15	6	3
19	13	8	21	6	8
20	13	6	19	8	1
21	14	4	18	7	1
22	14	7	21	6	7
23	15	2	17	7	6
24	15	6	21	5	7
25	17	2	19	6	6
26	17	2	19	10	7
27	18	2	20	7	1
28	19	5	24	10	8
29	21	4	25	10	8
30	21	7	28	8	2
31	21	9	30	10	2
32	21	4	25	7	5
33	25	1	26	9	5
34	25	4	29	8	7
35	26	4	30	5	2
36	28	3	31	10	2
37	29	2	31	7	2
38	30	6	36	7	4
39	30	4	34	5	2
40	30	10	40	7	4
41	31	9	40	7	4
42	31	7	38	7	5
43	31	6	37	9	3
44	34	6	40	8	1
45	38	7	45	6	2
46	40	8	48	10	3
47	40	1	41	8	2
48	40	5	45	5	4
49	40	6	46	6	8
50	45	2	47	10	7
51	45	8	53	6	6
52	45	1	46	9	8
53	46	7	53	10	1
54	46	7	53	8	6
55	47	2	49	7	8
56	47	6	53	10	7
57	47	9	56	9	4
58	53	4	57	9	2
59	53	7	60	5	3
60	53	3	56	10	2
61	53	5	58	6	6
62	53	4	57	10	4
63	53	4	57	6	6
64	56	7	63	9	7
65	56	10	66	6	8
66	56	6	62	10	4
67	57	8	65	8	3
68	58	7	65	6	7
69	60	1	61	9	5
70	62	1	63	7	4
71	63	3	66	7	8
72	65	8	73	9	5
73	66	7	73	8	5
74	66	1	67	7	4
75	66	1	67	9	3
76	66	2	68	10	7
77	67	2	69	10	2
78	67	4	71	7	3
79	67	5	72	5	6
80	68	5	73	9	1
81	69	6	75	5	1
82	72	3	75	9	6
83	73	4	77	9	8
84	73	10	83	10	5
85	73	3	76	10	7
86	73	7	80	8	2
87	77	9	86	9	5
88	80	1	81	6	7
89	80	9	89	9	6
90	89	1	90	5	3
