作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	6	2
2	0	4	4	10	4
3	0	3	3	8	4
4	0	0	0	5	8
5	0	0	0	10	7
6	3	3	6	8	3
7	3	2	5	7	8
8	4	5	9	5	4
9	4	4	8	9	7
10	5	10	15	9	7
11	5	8	13	10	6
12	8	1	9	8	1
13	9	2	11	9	5
14	9	10	19	8	7
15	10	9	19	8	7
16	10	5	15	5	8
17	10	8	18	10	5
18	13	6	19	9	7
19	15	6	21	6	7
20	15	5	20	9	2
21	15	6	21	10	1
22	18	10	28	10	1
23	19	6	25	10	6
24	19	1	20	6	4
25	20	4	24	9	8
26	20	8	28	8	1
27	20	6	26	6	6
28	21	8	29	6	2
29	21	2	23	10	1
30	23	7	30	9	4
31	23	5	28	7	6
32	26	7	33	6	2
33	28	3	31	5	1
34	29	4	33	5	1
35	30	7	37	8	6
36	30	9	39	8	3
37	31	9	40	5	4
38	31	8	39	8	6
39	31	2	33	6	8
40	33	9	42	8	7
41	37	10	47	8	3
42	37	8	45	5	5
43	39	6	45	7	5
44	39	10	49	6	4
45	40	9	49	8	7
46	40	8	48	10	6
47	40	5	45	7	7
48	42	6	48	8	1
49	45	10	55	9	7
50	45	8	53	8	7
51	45	2	47	7	8
52	45	8	53	6	5
53	48	3	51	7	5
54	48	5	53	8	1
55	49	4	53	7	5
56	51	4	55	10	2
57	53	5	58	9	1
58	53	8	61	5	4
59	53	5	58	5	7
60	55	6	61	8	6
61	55	5	60	9	6
62	58	5	63	5	2
63	58	7	65	6	8
64	61	9	70	5	7
65	61	1	62	5	1
66	61	3	64	6	8
67	62	9	71	6	4
68	63	3	66	10	6
69	64	5	69	6	8
70	65	6	71	5	5
71	66	3	69	10	3
72	66	9	75	6	7
73	70	3	73	10	4
74	71	3	74	10	8
75	71	2	73	10	1
76	71	7	78	8	7
77	73	2	75	6	1
78	73	8	81	5	7
79	74	5	79	8	2
80	74	4	78	6	4
81	75	4	79	5	5
82	78	5	83	7	5
83	78	9	87	5	5
84	81	1	82	9	4
85	82	6	88	7	1
86	82	5	87	8	1
87	87	6	93	8	5
88	87	7	94	9	4
89	88	1	89	10	8
90	89	7	96	5	6
