作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	8	5
2	0	5	5	8	8
3	0	9	9	6	4
4	0	0	0	8	7
5	0	0	0	5	5
6	5	4	9	9	3
7	5	9	14	5	1
8	5	7	12	7	6
9	7	6	13	8	2
10	9	10	19	7	7
11	9	6	15	5	7
12	12	2	14	8	1
13	12	7	19	6	6
14	12	5	17	6	1
15	13	4	17	8	3
16	13	10	23	7	6
17	14	2	16	5	6
18	14	3	17	7	5
19	16	2	18	9	3
20	17	8	25	5	1
21	17	3	20	8	7
22	17	7	24	10	8
23	19	6	25	8	3
24	19	8	27	5	2
25	19	5	24	9	8
26	20	8	28	5	1
27	20	1	21	6	1
28	21	2	23	8	7
29	23	1	24	6	5
30	23	1	24	6	7
31	23	1	24	8	2
32	24	9	33	10	2
33	24	5	29	9	3
34	24	8	32	10	1
35	24	2	26	6	5
36	24	3	27	7	8
37	25	2	27	9	5
38	26	1	27	5	5
39	27	1	28	5	2
40	27	1	28	5	4
41	27	1	28	10	8
42	28	4	32	8	4
43	28	1	29	9	4
44	28	1	29	7	4
45	28	5	33	5	3
46	29	3	32	5	7
47	29	9	38	9	7
48	29	7	36	6	7
49	32	6	38	10	3
50	32	3	35	7	6
51	32	3	35	6	5
52	33	6	39	8	6
53	33	7	40	8	6
54	35	9	44	6	4
55	36	8	44	9	7
56	38	3	41	7	3
57	38	1	39	9	8
58	39	5	44	6	3
59	40	5	45	9	1
60	41	5	46	8	4
61	41	9	50	8	4
62	44	2	46	7	6
63	44	7	51	10	4
64	44	1	45	9	6
65	45	9	54	6	8
66	45	5	50	6	7
67	46	3	49	10	4
68	49	7	56	9	4
69	49	4	53	9	2
70	50	7	57	10	7
71	50	8	58	5	3
72	50	8	58	8	5
73	50	6	56	7	7
74	54	2	56	5	2
75	56	2	58	8	4
76	56	9	65	8	2
77	56	10	66	5	4
78	57	8	65	10	1
79	57	8	65	6	4
80	58	6	64	10	2
81	58	4	62	8	8
82	62	2	64	8	3
83	64	4	68	5	8
84	65	2	67	10	8
85	65	1	66	8	3
86	66	9	75	6	8
87	66	2	68	8	8
88	68	9	77	6	3
89	68	9	77	6	1
90	77	1	78	5	6
