作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	8	5
2	0	1	1	8	8
3	0	3	3	9	2
4	0	0	0	7	6
5	0	0	0	7	5
6	1	6	7	7	2
7	1	4	5	7	3
8	3	10	13	10	5
9	3	5	8	10	7
10	3	3	6	5	1
11	6	2	8	9	1
12	7	6	13	5	4
13	8	2	10	5	4
14	8	10	18	5	3
15	8	5	13	9	5
16	8	6	14	6	5
17	10	4	14	9	7
18	10	6	16	8	4
19	13	9	22	7	2
20	13	6	19	7	3
21	13	1	14	9	4
22	14	9	23	9	1
23	14	9	23	6	1
24	14	2	16	5	5
25	16	8	24	10	1
26	16	10	26	7	7
27	18	7	25	9	2
28	18	8	26	10	8
29	19	2	21	10	2
30	19	9	28	5	1
31	21	3	24	8	4
32	22	6	28	10	8
33	23	9	32	10	7
34	24	4	28	8	5
35	24	3	27	10	8
36	25	9	34	7	6
37	26	8	34	8	6
38	26	9	35	7	5
39	27	6	33	8	6
40	28	1	29	6	8
41	28	9	37	6	4
42	28	7	35	8	1
43	29	8	37	6	8
44	32	6	38	5	1
45	32	8	40	8	7
46	33	4	37	7	4
47	34	8	42	6	2
48	34	10	44	10	8
49	35	9	44	6	6
50	35	6	41	5	8
51	35	1	36	5	6
52	37	1	38	5	1
53	37	2	39	6	2
54	38	2	40	8	6
55	38	3	41	8	2
56	39	3	42	8	2
57	40	9	49	10	7
58	40	8	48	6	6
59	41	8	49	7	5
60	42	10	52	8	8
61	42	6	48	7	7
62	44	9	53	7	6
63	44	8	52	7	4
64	44	7	51	7	2
65	48	10	58	9	5
66	49	1	50	7	6
67	49	6	55	10	6
68	50	8	58	7	5
69	51	10	61	10	1
70	52	5	57	8	4
71	53	1	54	7	4
72	55	7	62	6	8
73	57	10	67	10	4
74	57	3	60	6	5
75	58	3	61	9	4
76	58	7	65	7	3
77	58	8	66	7	2
78	58	4	62	6	3
79	61	5	66	9	3
80	61	10	71	10	6
81	61	7	68	6	1
82	62	9	71	7	1
83	62	9	71	9	8
84	62	7	69	5	8
85	66	2	68	6	4
86	67	8	75	8	2
87	68	1	69	7	8
88	69	7	76	7	1
89	71	4	75	7	5
90	71	7	78	8	8
