作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	8	8
2	0	4	4	6	8
3	0	9	9	7	4
4	0	0	0	5	4
5	0	0	0	6	7
6	4	1	5	10	3
7	4	5	9	6	4
8	5	5	10	8	1
9	5	5	10	10	1
10	9	10	19	10	3
11	9	4	13	7	7
12	9	8	17	9	1
13	9	4	13	5	5
14	9	7	16	5	4
15	9	8	17	7	7
16	9	2	11	10	4
17	9	1	10	9	5
18	11	5	16	5	1
19	11	6	17	5	3
20	13	8	21	6	1
21	13	3	16	8	3
22	16	8	24	10	1
23	16	9	25	10	3
24	16	4	20	8	4
25	16	7	23	8	7
26	16	1	17	9	3
27	16	7	23	9	2
28	17	10	27	8	3
29	17	5	22	5	5
30	17	9	26	7	6
31	17	2	19	7	1
32	17	5	22	6	2
33	17	8	25	7	7
34	19	3	22	8	3
35	19	5	24	10	2
36	21	9	30	10	3
37	21	5	26	5	7
38	22	10	32	5	5
39	22	5	27	6	3
40	23	2	25	8	4
41	23	5	28	9	5
42	25	6	31	6	2
43	25	4	29	9	2
44	26	1	27	10	6
45	26	1	27	7	5
46	27	4	31	6	5
47	27	8	35	9	4
48	27	9	36	10	3
49	27	4	31	9	4
50	27	7	34	10	1
51	29	6	35	9	6
52	30	3	33	10	4
53	31	2	33	6	2
54	31	8	39	5	7
55	31	1	32	5	2
56	31	6	37	7	3
57	32	6	38	5	5
58	32	9	41	6	6
59	33	5	38	10	2
60	34	8	42	5	1
61	37	7	44	8	6
62	37	7	44	9	1
63	39	9	48	5	4
64	39	9	48	5	5
65	41	4	45	9	7
66	42	3	45	8	7
67	44	4	48	8	2
68	44	9	53	9	8
69	44	5	49	6	3
70	45	1	46	10	1
71	45	2	47	8	8
72	48	1	49	7	6
73	48	5	53	6	1
74	48	7	55	6	5
75	49	7	56	10	8
76	49	4	53	7	6
77	53	9	62	10	5
78	53	1	54	5	3
79	55	1	56	8	6
80	56	4	60	5	4
81	56	9	65	9	6
82	56	8	64	7	4
83	60	8	68	8	4
84	62	6	68	5	2
85	62	5	67	10	2
86	62	2	64	10	1
87	64	3	67	6	8
88	67	10	77	6	1
89	68	6	74	9	7
90	77	4	81	6	6
