作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	10	4
2	0	3	3	10	7
3	0	1	1	7	3
4	0	0	0	7	2
5	0	0	0	7	3
6	1	9	10	5	1
7	1	3	4	5	1
8	3	6	9	6	1
9	3	4	7	9	4
10	4	7	11	6	8
11	4	8	12	5	5
12	7	2	9	6	1
13	7	8	15	10	4
14	9	1	10	6	2
15	9	2	11	8	2
16	9	8	17	6	1
17	9	4	13	5	7
18	12	7	19	8	8
19	12	6	18	9	1
20	12	7	19	9	6
21	13	5	18	6	8
22	13	10	23	6	6
23	17	8	25	7	4
24	17	2	19	6	5
25	18	10	28	6	6
26	19	2	21	9	8
27	19	10	29	7	8
28	19	10	29	7	7
29	19	7	26	8	8
30	21	2	23	7	5
31	23	3	26	10	2
32	23	6	29	9	2
33	26	10	36	9	3
34	26	7	33	5	3
35	26	9	35	7	1
36	28	8	36	9	2
37	28	2	30	5	1
38	29	7	36	6	3
39	29	3	32	9	3
40	29	6	35	5	7
41	33	3	36	10	3
42	33	7	40	10	5
43	35	5	40	6	6
44	35	2	37	7	4
45	36	5	41	8	3
46	36	10	46	7	6
47	36	6	42	6	3
48	36	9	45	5	5
49	40	3	43	5	1
50	40	3	43	8	8
51	42	1	43	7	1
52	43	6	49	6	2
53	43	10	53	6	1
54	43	3	46	9	6
55	43	6	49	7	2
56	45	10	55	5	1
57	46	9	55	7	7
58	46	6	52	7	1
59	46	3	49	6	3
60	49	2	51	5	1
61	49	4	53	10	3
62	51	5	56	8	7
63	52	8	60	9	6
64	53	8	61	10	4
65	53	6	59	6	4
66	55	6	61	6	3
67	55	9	64	6	7
68	56	2	58	10	8
69	58	6	64	6	6
70	59	10	69	7	7
71	60	8	68	8	5
72	61	3	64	10	3
73	64	9	73	8	4
74	64	10	74	9	5
75	68	5	73	6	1
76	69	7	76	9	6
77	73	4	77	10	8
78	73	9	82	6	3
79	76	2	78	8	6
80	76	9	85	7	5
81	77	8	85	10	7
82	78	6	84	10	3
83	78	6	84	9	2
84	82	6	88	8	4
85	82	6	88	6	5
86	84	9	93	5	6
87	85	6	91	8	5
88	85	6	91	9	5
89	88	1	89	10	5
90	89	4	93	6	1
