作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	6	3
2	0	8	8	10	7
3	0	10	10	6	1
4	0	0	0	8	6
5	0	0	0	8	3
6	5	7	12	10	2
7	8	7	15	10	8
8	8	3	11	10	3
9	10	6	16	6	7
10	10	5	15	6	8
11	11	3	14	7	2
12	11	3	14	10	1
13	12	10	22	9	2
14	14	8	22	10	4
15	15	1	16	6	4
16	15	4	19	6	4
17	16	10	26	9	3
18	16	4	20	8	8
19	20	2	22	9	4
20	20	2	22	8	4
21	20	1	21	5	1
22	21	5	26	8	2
23	22	6	28	6	4
24	22	1	23	10	8
25	22	1	23	5	1
26	22	7	29	10	1
27	23	4	27	7	4
28	23	8	31	10	8
29	26	9	35	10	3
30	27	10	37	7	7
31	29	3	32	10	7
32	29	10	39	5	2
33	31	1	32	5	2
34	32	7	39	6	6
35	35	2	37	9	7
36	37	3	40	5	5
37	37	5	42	7	7
38	37	2	39	5	1
39	39	8	47	8	2
40	39	5	44	10	5
41	39	5	44	8	7
42	40	9	49	7	7
43	42	5	47	8	2
44	44	10	54	10	6
45	44	6	50	10	7
46	44	4	48	8	2
47	47	10	57	5	1
48	47	1	48	6	7
49	48	6	54	5	8
50	49	6	55	7	3
51	50	9	59	9	5
52	54	1	55	7	8
53	54	5	59	10	4
54	55	9	64	5	2
55	57	1	58	9	3
56	57	3	60	9	7
57	58	9	67	10	3
58	58	6	64	6	5
59	59	8	67	9	1
60	59	8	67	8	8
61	60	5	65	9	3
62	64	2	66	10	3
63	66	1	67	5	4
64	66	1	67	9	1
65	67	2	69	9	5
66	67	7	74	5	1
67	67	5	72	5	2
68	67	8	75	5	3
69	69	9	78	7	5
70	72	3	75	6	8
71	72	4	76	8	4
72	72	5	77	5	5
73	74	7	81	7	2
74	75	10	85	6	2
75	77	3	80	8	4
76	78	1	79	6	2
77	79	3	82	9	2
78	80	7	87	9	1
79	81	8	89	5	3
80	82	9	91	7	8
81	85	4	89	7	8
82	87	8	95	7	5
83	89	6	95	9	6
84	89	9	98	6	5
85	89	6	95	7	4
86	91	9	100	9	6
87	95	3	98	9	7
88	95	2	97	9	2
89	97	4	101	6	2
90	98	7	105	10	6
