作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	6	4
2	0	10	10	5	2
3	0	2	2	7	7
4	0	0	0	8	3
5	0	0	0	9	4
6	2	7	9	10	4
7	2	2	4	5	8
8	2	2	4	10	5
9	4	4	8	10	5
10	4	4	8	7	6
11	4	1	5	6	6
12	4	7	11	5	3
13	4	6	10	10	5
14	4	6	10	8	3
15	6	10	16	6	5
16	10	3	13	5	8
17	10	7	17	9	3
18	10	2	12	7	3
19	10	3	13	7	4
20	10	7	17	5	8
21	10	6	16	9	1
22	10	9	19	9	1
23	10	9	19	6	3
24	11	8	19	8	2
25	12	7	19	9	6
26	13	1	14	8	8
27	13	1	14	6	4
28	13	6	19	6	8
29	16	8	24	6	8
30	16	1	17	10	4
31	16	2	18	9	1
32	17	8	25	5	8
33	17	3	20	7	6
34	18	2	20	5	6
35	19	8	27	6	6
36	19	8	27	6	4
37	19	3	22	8	1
38	19	2	21	5	3
39	19	2	21	8	2
40	21	10	31	7	6
41	21	3	24	9	6
42	21	2	23	10	8
43	23	8	31	7	3
44	23	4	27	5	6
45	24	6	30	5	8
46	24	7	31	6	4
47	24	2	26	5	8
48	25	3	28	6	8
49	26	6	32	10	6
50	27	1	28	10	1
51	27	6	33	5	5
52	27	3	30	8	8
53	28	9	37	9	2
54	28	8	36	9	5
55	30	9	39	10	8
56	31	7	38	7	1
57	31	2	33	5	5
58	32	9	41	7	2
59	33	1	34	5	7
60	33	8	41	6	7
61	33	4	37	8	6
62	33	2	35	8	2
63	34	2	36	6	7
64	35	4	39	5	2
65	37	10	47	5	5
66	37	10	47	6	3
67	37	10	47	9	4
68	38	3	41	8	7
69	39	2	41	7	6
70	39	5	44	8	6
71	41	4	45	10	7
72	41	2	43	5	2
73	41	1	42	5	1
74	41	4	45	10	7
75	42	5	47	8	7
76	43	10	53	8	4
77	45	5	50	9	2
78	45	4	49	10	3
79	47	10	57	7	8
80	47	8	55	5	7
81	50	1	51	8	5
82	55	1	56	10	2
83	55	2	57	10	5
84	56	7	63	10	8
85	57	4	61	8	3
86	57	4	61	7	7
87	57	9	66	6	4
88	61	5	66	9	4
89	63	3	66	5	5
90	66	4	70	9	5
